for N=3 oscillators in a 1D ring topology,,,,,,,,,,,,,,,,
coupling strength K  [Hz],filter_cutoff f_c  [Hz],delay [s],Omega [Hz],m-twist-state,Tsim ~= - 25 / Re(lambda),paramSet id,Re(\lambda),Zeitproxy 1. simulation [sek],topology,diff. const. c,# oscis,coupling function,Nx ,Ny,mx,my
K,Fc,delay,Fomeg,m,Tsim,id,ReLambda,SimSeconds,topology,c,N,couplingfct,Nx,Ny,mx,my
0.8,1,0.5,1.3076923077,0,1038,60,-0.0240946603,41,square-open,0,144,triang,12,12,0,0
0.9,1,0.5,1.3214285714,0,993,61,-0.0251742329,39,square-open,0,144,triang,12,12,0,0
1,1,0.5,0,0,958,62,-0.0261096195,38,square-open,0,144,triang,12,12,0,0
1,1,0.5,1.3333333333,0,958,63,-0.0261096195,38,square-open,0,144,triang,12,12,0,0
1.1,1,0.5,1.34375,0,8971,64,-0.0027866663,358,square-open,0,144,triang,12,12,0,0
0.5,0.1,0.5,1.25,0,1260,65,-0.0198431899,50,square-open,0,144,triang,12,12,0,0
0.5,0.3,0.5,1.25,0,1273,66,-0.0196310519,50,square-open,0,144,triang,12,12,0,0
0.5,0.5,0.5,1.25,0,1276,67,-0.0195897028,51,square-open,0,144,triang,12,12,0,0
0.5,0.7,0.5,1.25,0,1277,68,-0.0195720881,51,square-open,0,144,triang,12,12,0,0
0.5,0.9,0.5,1.25,0,1278,69,-0.0195623295,51,square-open,0,144,triang,12,12,0,0
0.5,1.1,0.5,1.25,0,1278,70,-0.0195561296,51,square-open,0,144,triang,12,12,0,0
0.5,1.3,0.5,1.25,0,1279,71,-0.019551842,51,square-open,0,144,triang,12,12,0,0
0.5,1.5,0.5,1.25,0,1279,72,-0.0195487001,51,square-open,0,144,triang,12,12,0,0
0.5,1.7,0.5,1.25,0,1279,73,-0.0195462988,51,square-open,0,144,triang,12,12,0,0
0.5,1.9,0.5,1.25,0,1279,74,-0.0195444039,51,square-open,0,144,triang,12,12,0,0
0.5,1,0.35,1.4705882353,0,1087,75,-0.0230026498,43,square-open,0,144,triang,12,12,0,0
0.5,1,0.4,1.3888888889,0,1151,76,-0.0217276072,46,square-open,0,144,triang,12,12,0,0
0.5,1,0.45,1.3157894737,0,1214,77,-0.0205863608,48,square-open,0,144,triang,12,12,0,0
0.5,1,0.5,1.25,0,1278,78,-0.0195589186,51,square-open,0,144,triang,12,12,0,0
0.5,1,0.55,1.1904761905,0,1342,79,-0.0186290794,53,square-open,0,144,triang,12,12,0,0
0.5,1,0.6,1.1363636364,0,1406,80,-0.0177835758,56,square-open,0,144,triang,12,12,0,0
0.5,1,0.65,1.0869565217,0,1470,81,-0.0170114391,58,square-open,0,144,triang,12,12,0,0
0.5,1,0.7,1.0416666667,0,1533,82,-0.0163035228,61,square-open,0,144,triang,12,12,0,0
0.5,1,0.75,1,0,1597,83,-0.015652139,63,square-open,0,144,triang,12,12,0,0
0.5,1,0.8,0.9615384615,0,1661,84,-0.0150507794,66,square-open,0,144,triang,12,12,0,0
0.5,1,0.85,0.9259259259,0,1725,85,-0.0144938972,68,square-open,0,144,triang,12,12,0,0
0.5,1,0.9,0.8928571429,0,1789,86,-0.0139767361,71,square-open,0,144,triang,12,12,0,0
0.5,1,0.95,0.8620689655,0,1853,87,-0.0134951945,74,square-open,0,144,triang,12,12,0,0
0.5,1,1,0.8333333333,0,1916,88,-0.0130457162,76,square-open,0,144,triang,12,12,0,0
0.5,1,1.05,0.8064516129,0,1980,89,-0.0126252032,79,square-open,0,144,triang,12,12,0,0
0.5,1,1.05,1.4516129032,0,1980,90,-0.0126252032,79,square-open,0,144,triang,12,12,0,0
0.5,1,1.1,0.78125,0,2044,91,-0.0122309441,81,square-open,0,144,triang,12,12,0,0
0.5,1,1.1,1.40625,0,2044,92,-0.0122309441,81,square-open,0,144,triang,12,12,0,0
0.5,1,1.15,0.7575757576,0,2108,93,-0.0118605552,84,square-open,0,144,triang,12,12,0,0
0.5,1,1.15,1.3636363636,0,2108,94,-0.0118605552,84,square-open,0,144,triang,12,12,0,0
0.5,1,1.2,0.7352941176,0,2172,95,-0.0115119332,86,square-open,0,144,triang,12,12,0,0
0.5,1,1.2,1.3235294118,0,2172,96,-0.0115119332,86,square-open,0,144,triang,12,12,0,0
0.5,1,1.25,0.7142857143,0,2235,97,-0.0111832146,89,square-open,0,144,triang,12,12,0,0
0.5,1,1.25,1.2857142857,0,2235,98,-0.0111832146,89,square-open,0,144,triang,12,12,0,0
0.5,1,1.3,0.6944444444,0,2299,99,-0.0108727427,91,square-open,0,144,triang,12,12,0,0
0.5,1,1.3,1.25,0,2299,100,-0.0108727427,91,square-open,0,144,triang,12,12,0,0
