for N=3 oscillators in a 1D ring topology																
coupling strength K  [Hz]	filter_cutoff f_c  [Hz]	delay [s]	Omega [Hz]	m-twist-state	Tsim ~= - 25 / Re(lambda)	paramSet id	Re(\lambda)	Zeitproxy 1. simulation [sek]	topology	diff. const. c	# oscis	coupling function	Nx 	Ny	mx	my
K	Fc	delay	Fomeg	m	Tsim	id	ReLambda	SimSeconds	topology	c	N	couplingfct	Nx	Ny	mx	my
0.25	0.1	0.19	1.0504201681	1	88	57	-0.2828285935	4.4196380031	ring	0	3	triang	3	1	1	-999
0.25	0.1	0.2	1.0416666667	1	89	58	-0.2811160617	4.4465620088	ring	0	3	triang	3	1	1	-999
0.25	0.1	0.21	1.0330578512	1	89	59	-0.2793992767	4.473884166	ring	0	3	triang	3	1	1	-999
0.25	0.1	0.22	1.0245901639	1	90	60	-0.277678553	4.5016080163	ring	0	3	triang	3	1	1	-999
0.25	0.1	0.23	1.0162601626	1	91	61	-0.2759542065	4.5297370746	ring	0	3	triang	3	1	1	-999
0.25	0.1	0.24	1.0080645161	1	91	62	-0.2742265544	4.5582748276	ring	0	3	triang	3	1	1	-999
0.25	0.1	0.25	1	1	92	63	-0.2724959148	4.5872247325	ring	0	3	triang	3	1	1	-999
0.25	0.1	0.26	0.9920634921	1	92	64	-0.2707626065	4.6165902155	ring	0	3	triang	3	1	1	-999
0.25	0.1	0.27	0.9842519685	1	93	65	-0.2690269487	4.6463746704	ring	0	3	triang	3	1	1	-999
0.25	0.1	0.28	0.9765625	1	94	66	-0.2672892606	4.6765814574	ring	0	3	triang	3	1	1	-999
0.25	0.1	0.29	0.9689922481	1	94	67	-0.2655498616	4.7072139017	ring	0	3	triang	3	1	1	-999
0.25	0.1	0.3	0.9615384615	1	95	68	-0.2638090704	4.7382752918	ring	0	3	triang	3	1	1	-999
0.25	0.1	0.31	0.9541984733	1	95	69	-0.2620672053	4.7697688788	ring	0	3	triang	3	1	1	-999
0.25	0.1	0.32	0.946969697	1	96	70	-0.2603245836	4.8016978745	ring	0	3	triang	3	1	1	-999
0.25	0.1	0.33	0.9398496241	1	97	71	-0.2585815217	4.8340654505	ring	0	3	triang	3	1	1	-999
0.25	0.1	0.34	0.9328358209	1	97	72	-0.2568383342	4.8668747367	ring	0	3	triang	3	1	1	-999
0.25	0.1	0.35	0.9259259259	1	98	73	-0.2550953344	4.9001288199	ring	0	3	triang	3	1	1	-999
0.25	0.1	0.36	0.9191176471	1	99	74	-0.2533528337	4.9338307431	ring	0	3	triang	3	1	1	-999
0.25	1	0.16	1.0775862069	1	9	75	-2.753404164	0.4539834785	ring	0	3	triang	3	1	1	-999
0.25	1	0.17	1.0683760684	1	9	76	-2.7205378138	0.4594679749	ring	0	3	triang	3	1	1	-999
0.25	1	0.18	1.0593220339	1	9	77	-2.6869071207	0.4652189093	ring	0	3	triang	3	1	1	-999
0.25	1	0.19	1.0504201681	1	9	78	-2.6525840664	0.4712385993	ring	0	3	triang	3	1	1	-999
0.25	1	0.2	1.0416666667	1	10	79	-2.6176446772	0.4775285244	ring	0	3	triang	3	1	1	-999
