for N=3 oscillators in a 1D ring topology																
coupling strength K  [Hz]	filter_cutoff f_c  [Hz]	delay [s]	Omega [Hz]	m-twist-state	Tsim ~= - 25 / Re(lambda)	paramSet id	Re(\lambda)	Zeitproxy 1. simulation [sek]	topology	diff. const. c	# oscis	coupling function	Nx 	Ny	mx	my
K	Fc	delay	Fomeg	m	Tsim	id	ReLambda	SimSeconds	topology	c	N	couplingfct	Nx	Ny	mx	my
0.25	10	0.44	1.2152777778	0	8	232	-3.1994442272	0.3906928551	ring	0	3	triang	3	1	0	-999
0.25	15	0.44	1.2152777778	0	9	233	-2.7853136996	0.4487824837	ring	0	3	triang	3	1	0	-999
0.25	20	0.44	1.2152777778	0	9	234	-2.6926809089	0.4642213624	ring	0	3	triang	3	1	0	-999
0.25	25	0.44	1.2152777778	0	9	235	-2.64720688	0.4721958112	ring	0	3	triang	3	1	0	-999
0.25	30	0.44	1.2152777778	0	10	236	-2.6197854463	0.4771383099	ring	0	3	triang	3	1	0	-999
0.25	35	0.44	1.2152777778	0	10	237	-2.601365644	0.4805168404	ring	0	3	triang	3	1	0	-999
0.25	40	0.44	1.2152777778	0	10	238	-2.5881156298	0.4829768754	ring	0	3	triang	3	1	0	-999
0.25	45	0.44	1.2152777778	0	10	239	-2.5781177008	0.4848498576	ring	0	3	triang	3	1	0	-999
0.25	100	0.44	1.2152777778	0	10	240	-2.5369402262	0.4927195316	ring	0	3	triang	3	1	0	-999
0.25	0.1	1.3	0.7608695652	0	206	243	-0.1212983845	10.3051661009	ring	0	3	triang	3	1	0	-999
0.25	0.1	1.3	1.1956521739	0	206	244	-0.1212983845	10.3051661009	ring	0	3	triang	3	1	0	-999
0.25	0.9	1.3	0.7608695652	0	43	245	-0.5830458496	2.1439137262	ring	0	3	triang	3	1	0	-999
0.25	0.9	1.3	1.1956521739	0	43	246	-0.5830458496	2.1439137262	ring	0	3	triang	3	1	0	-999
0.25	1.3	1.3	0.7608695652	0	39	247	-0.6377882408	1.9598981607	ring	0	3	triang	3	1	0	-999
0.25	1.3	1.3	1.1956521739	0	39	248	-0.6377882408	1.9598981607	ring	0	3	triang	3	1	0	-999
0.25	1.7	1.3	0.7608695652	0	37	249	-0.6679926217	1.8712781541	ring	0	3	triang	3	1	0	-999
0.25	1.7	1.3	1.1956521739	0	37	250	-0.6679926217	1.8712781541	ring	0	3	triang	3	1	0	-999
0.25	2.1	1.3	0.7608695652	0	36	251	-0.6870074325	1.8194854101	ring	0	3	triang	3	1	0	-999
0.25	2.1	1.3	1.1956521739	0	36	252	-0.6870074325	1.8194854101	ring	0	3	triang	3	1	0	-999
0.25	2.5	1.3	0.7608695652	0	36	253	-0.7000459274	1.7855971316	ring	0	3	triang	3	1	0	-999
0.25	2.5	1.3	1.1956521739	0	36	254	-0.7000459274	1.7855971316	ring	0	3	triang	3	1	0	-999
0.25	2.9	1.3	0.7608695652	0	35	255	-0.7095321067	1.7617243648	ring	0	3	triang	3	1	0	-999
0.25	2.9	1.3	1.1956521739	0	35	256	-0.7095321067	1.7617243648	ring	0	3	triang	3	1	0	-999
0.25	3.3	1.3	0.7608695652	0	35	257	-0.7167393712	1.74400912	ring	0	3	triang	3	1	0	-999
0.25	3.3	1.3	1.1956521739	0	35	258	-0.7167393712	1.74400912	ring	0	3	triang	3	1	0	-999
0.25	3.7	1.3	0.7608695652	0	35	259	-0.7223989563	1.7303458001	ring	0	3	triang	3	1	0	-999
0.25	3.7	1.3	1.1956521739	0	35	260	-0.7223989563	1.7303458001	ring	0	3	triang	3	1	0	-999
0.25	4.1	1.3	0.7608695652	0	34	261	-0.7269601042	1.719489134	ring	0	3	triang	3	1	0	-999
0.25	4.1	1.3	1.1956521739	0	34	262	-0.7269601042	1.719489134	ring	0	3	triang	3	1	0	-999
0.25	4.5	1.3	0.7608695652	0	34	263	-0.7307138116	1.7106560463	ring	0	3	triang	3	1	0	-999
0.25	4.5	1.3	1.1956521739	0	34	264	-0.7307138116	1.7106560463	ring	0	3	triang	3	1	0	-999
0.15	0.5	0.44	1.1471518987	0	20	265	-1.2264709857	1.019184322	ring	0	3	triang	3	1	0	-999
0.2	0.5	0.44	1.1834319527	0	22	266	-1.1418277638	1.0947360361	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.44	1.2152777778	0	23	267	-1.066681792	1.1718583831	ring	0	3	triang	3	1	0	-999
0.3	0.5	0.44	1.2434554974	0	25	268	-0.9992254548	1.250968932	ring	0	3	triang	3	1	0	-999
0.35	0.5	0.44	1.2685643564	0	27	269	-0.9381376429	1.3324270799	ring	0	3	triang	3	1	0	-999
0.4	0.5	0.44	1.2910798122	0	28	270	-0.8824209031	1.4165575585	ring	0	3	triang	3	1	0	-999
0.45	0.5	0.44	1.3113839286	0	30	271	-0.8313020955	1.5036651618	ring	0	3	triang	3	1	0	-999
0.5	0.5	0.44	1.329787234	0	32	272	-0.7841688053	1.5940445368	ring	0	3	triang	3	1	0	-999
0.55	0.5	0.44	1.3465447155	0	34	273	-0.7405270059	1.6879870553	ring	0	3	triang	3	1	0	-999
0.6	0.5	0.44	1.3618677043	0	36	274	-0.6999719322	1.7857858902	ring	0	3	triang	3	1	0	-999
0.65	0.5	0.44	1.3759328358	0	38	275	-0.6621674755	1.8877399545	ring	0	3	triang	3	1	0	-999
0.7	0.5	0.44	1.3888888889	0	40	276	-0.6268312548	1.9941571042	ring	0	3	triang	3	1	0	-999
0.75	0.5	0.44	1.400862069	0	42	277	-0.5937235746	2.1053568586	ring	0	3	triang	3	1	0	-999
0.8	0.5	0.44	1.4119601329	0	44	278	-0.5626391061	2.2216728032	ring	0	3	triang	3	1	0	-999
0.85	0.5	0.44	1.422275641	0	47	279	-0.5334005195	2.3434547857	ring	0	3	triang	3	1	0	-999
0.9	0.5	0.44	1.4318885449	0	49	280	-0.5058535393	2.4710709778	ring	0	3	triang	3	1	0	-999
0.95	0.5	0.44	1.4408682635	0	52	281	-0.4798630546	2.6049098552	ring	0	3	triang	3	1	0	-999
0.25	1	0.41	1.2411347518	0	20	281	-1.2478083222	1.0017564219	chain	0	3	triang	3	1	0	-999
0.25	1	0.42	1.2323943662	0	20	282	-1.2478083222	1.0017564219	chain	0	3	triang	3	1	0	-999
0.25	1	0.43	1.2237762238	0	20	283	-1.2284824151	1.0175155824	chain	0	3	triang	3	1	0	-999
0.25	1	0.44	1.2152777778	0	21	284	-1.1987944576	1.0427141969	chain	0	3	triang	3	1	0	-999
0.25	1	0.45	1.2068965517	0	21	285	-1.1700251872	1.0683530694	chain	0	3	triang	3	1	0	-999
0.25	1	0.46	1.198630137	0	22	286	-1.1421465615	1.0944304717	chain	0	3	triang	3	1	0	-999
0.25	1	0.47	1.1904761905	0	22	287	-1.1151306508	1.1209448858	chain	0	3	triang	3	1	0	-999
0.25	1	0.48	1.1824324324	0	23	288	-1.0889497807	1.1478949922	chain	0	3	triang	3	1	0	-999
0.25	1	0.49	1.1744966443	0	24	289	-1.0635766486	1.1752796582	chain	0	3	triang	3	1	0	-999
0.25	1	0.5	1.1666666667	0	24	290	-1.0389844184	1.203097927	chain	0	3	triang	3	1	0	-999
0.25	1	0.51	1.1589403974	0	25	291	-1.0151467963	1.2313490074	chain	0	3	triang	3	1	0	-999
0.25	1	0.52	1.1513157895	0	25	292	-0.9920380901	1.2600322634	chain	0	3	triang	3	1	0	-999
0.25	1	0.53	1.1437908497	0	26	293	-0.9696332545	1.2891472051	chain	0	3	triang	3	1	0	-999
0.25	1	0.54	1.1363636364	0	26	294	-0.9479079251	1.3186934795	chain	0	3	triang	3	1	0	-999
0.25	1	0.55	1.1290322581	0	27	295	-0.9268384414	1.3486708623	chain	0	3	triang	3	1	0	-999
0.25	1	0.56	1.1217948718	0	28	296	-0.9064018621	1.3790792498	chain	0	3	triang	3	1	0	-999
0.25	1	0.57	1.1146496815	0	28	297	-0.8865759729	1.4099186514	chain	0	3	triang	3	1	0	-999
0.25	1	0.58	1.1075949367	0	29	298	-0.8673392881	1.441189183	chain	0	3	triang	3	1	0	-999
0.25	1	0.59	1.1006289308	0	29	299	-0.8486710484	1.47289106	chain	0	3	triang	3	1	0	-999
0.25	1	0.6	1.09375	0	30	300	-0.8305512129	1.5050245916	chain	0	3	triang	3	1	0	-999
0.25	1	0.61	1.0869565217	0	31	301	-0.8129604497	1.5375901749	chain	0	3	triang	3	1	0	-999
0.25	1	0.62	1.0802469136	0	31	302	-0.7958801223	1.5705882895	chain	0	3	triang	3	1	0	-999
0.25	1	0.63	1.0736196319	0	32	303	-0.7792922752	1.6040194928	chain	0	3	triang	3	1	0	-999
0.25	1	0.64	1.0670731707	0	33	304	-0.7631796166	1.6378844152	chain	0	3	triang	3	1	0	-999
0.25	1	0.65	1.0606060606	0	33	305	-0.7475255012	1.6721837555	chain	0	3	triang	3	1	0	-999
0.25	1	0.66	1.0542168675	0	34	306	-0.7323139112	1.7069182776	chain	0	3	triang	3	1	0	-999
0.25	1	0.67	1.0479041916	0	35	307	-0.717529437	1.7420888058	chain	0	3	triang	3	1	0	-999
0.25	1	0.68	1.0416666667	0	36	308	-0.7031572574	1.777696222	chain	0	3	triang	3	1	0	-999
0.25	1	0.69	1.0355029586	0	36	309	-0.6891831201	1.8137414622	chain	0	3	triang	3	1	0	-999
0.25	1	0.7	1.0294117647	0	37	310	-0.6755933215	1.8502255132	chain	0	3	triang	3	1	0	-999
0.25	1	0.71	1.0233918129	0	38	311	-0.6623746871	1.8871494101	chain	0	3	triang	3	1	0	-999
0.25	1	0.72	1.0174418605	0	38	312	-0.6495145519	1.9245142334	chain	0	3	triang	3	1	0	-999
0.25	1	0.73	1.0115606936	0	39	313	-0.6370007415	1.9623211066	chain	0	3	triang	3	1	0	-999
0.25	1	0.74	1.0057471264	0	40	314	-0.6248215529	2.0005711937	chain	0	3	triang	3	1	0	-999
0.25	1	0.75	1	0	41	315	-0.6129657365	2.0392656973	chain	0	3	triang	3	1	0	-999
0.25	1	0.76	0.9943181818	0	42	316	-0.6014224778	2.0784058562	chain	0	3	triang	3	1	0	-999
0.25	1	0.77	0.988700565	0	42	317	-0.5901813807	2.1179929439	chain	0	3	triang	3	1	0	-999
0.25	1	0.78	0.9831460674	0	43	318	-0.57923245	2.1580282665	chain	0	3	triang	3	1	0	-999
0.25	1	0.79	0.9776536313	0	44	319	-0.5685660755	2.1985131611	chain	0	3	triang	3	1	0	-999
0.25	1	0.8	0.9722222222	0	45	320	-0.5581730163	2.2394489942	chain	0	3	triang	3	1	0	-999
0.25	1	0.81	0.9668508287	0	46	321	-0.5480443855	2.2808371603	chain	0	3	triang	3	1	0	-999
0.25	1	0.82	0.9615384615	0	46	322	-0.5381716357	2.3226790807	chain	0	3	triang	3	1	0	-999
0.25	1	0.83	0.956284153	0	47	323	-0.5285465449	2.3649762015	chain	0	3	triang	3	1	0	-999
0.25	1	0.84	0.9510869565	0	48	324	-0.5191612031	2.4077299933	chain	0	3	triang	3	1	0	-999
0.25	1	0.85	0.9459459459	0	49	325	-0.5100079993	2.4509419495	chain	0	3	triang	3	1	0	-999
0.25	1	0.86	0.9408602151	0	50	326	-0.5010796091	2.4946135852	chain	0	3	triang	3	1	0	-999
0.25	1	0.87	0.935828877	0	51	327	-0.4923689826	2.5387464365	chain	0	3	triang	3	1	0	-999
0.25	1	0.88	0.9308510638	0	52	328	-0.4838693334	2.5833420592	chain	0	3	triang	3	1	0	-999
0.25	1	0.89	0.9259259259	0	53	329	-0.475574127	2.6284020282	chain	0	3	triang	3	1	0	-999
0.25	1	0.9	0.9210526316	0	53	330	-0.4674770711	2.6739279365	chain	0	3	triang	3	1	0	-999
0.25	1	0.91	0.9162303665	0	54	331	-0.4595721048	2.7199213944	chain	0	3	triang	3	1	0	-999
0.25	1	0.92	0.9114583333	0	55	332	-0.4518533895	2.7663840288	chain	0	3	triang	3	1	0	-999
0.25	1	0.93	0.9067357513	0	56	333	-0.4443152996	2.8133174824	chain	0	3	triang	3	1	0	-999
0.25	1	0.94	0.9020618557	0	57	334	-0.4369524136	2.860723413	chain	0	3	triang	3	1	0	-999
0.25	1	0.95	0.8974358974	0	58	335	-0.4297595059	2.9086034932	chain	0	3	triang	3	1	0	-999
0.25	1	0.96	0.8928571429	0	59	336	-0.4227315384	2.9569594093	chain	0	3	triang	3	1	0	-999
0.25	1	0.97	0.8883248731	0	60	337	-0.4158636532	3.0057928611	chain	0	3	triang	3	1	0	-999
0.25	1	0.98	0.8838383838	0	61	338	-0.4091511651	3.0551055613	chain	0	3	triang	3	1	0	-999
0.25	1	0.99	0.8793969849	0	62	339	-0.4025895546	3.1048992347	chain	0	3	triang	3	1	0	-999
0.25	1	1	0.875	0	63	340	-0.396174461	3.1551756183	chain	0	3	triang	3	1	0	-999
0.25	1	1.01	0.8706467662	0	64	341	-0.3899016763	3.2059364601	chain	0	3	triang	3	1	0	-999
0.25	1	1.02	0.8663366337	0	65	342	-0.3837671389	3.2571835193	chain	0	3	triang	3	1	0	-999
0.25	1	1.03	0.8620689655	0	66	343	-0.3777669275	3.3089185655	chain	0	3	triang	3	1	0	-999
0.25	1	1.04	0.8578431373	0	67	344	-0.3718972561	3.3611433787	chain	0	3	triang	3	1	0	-999
0.25	1	1.05	0.8536585366	0	68	345	-0.366154468	3.4138597485	chain	0	3	triang	3	1	0	-999
0.25	1	1.06	0.8495145631	0	69	346	-0.3605350309	3.4670694738	chain	0	3	triang	3	1	0	-999
0.25	1	1.07	0.845410628	0	70	347	-0.3550355323	3.5207743628	chain	0	3	triang	3	1	0	-999
0.25	1	1.08	0.8413461538	0	71	348	-0.3496526742	3.5749762325	chain	0	3	triang	3	1	0	-999
0.25	1	1.09	0.8373205742	0	73	349	-0.3443832693	3.6296769081	chain	0	3	triang	3	1	0	-999
0.25	1	1.1	0.8333333333	0	74	350	-0.339224236	3.6848782233	chain	0	3	triang	3	1	0	-999
0.25	1	1.11	0.8293838863	0	75	351	-0.3341725949	3.7405820194	chain	0	3	triang	3	1	0	-999
0.25	1	1.12	0.8254716981	0	76	352	-0.3292254647	3.7967901456	chain	0	3	triang	3	1	0	-999
0.25	1	1.13	0.8215962441	0	77	353	-0.3243800581	3.8535044583	chain	0	3	triang	3	1	0	-999
0.25	1	1.14	0.8177570093	0	78	354	-0.3196336786	3.910726821	chain	0	3	triang	3	1	0	-999
0.25	1	1.15	0.8139534884	0	79	355	-0.3149837171	3.9684591045	chain	0	3	triang	3	1	0	-999
0.25	1	1.16	0.8101851852	0	81	356	-0.3104276482	4.0267031857	chain	0	3	triang	3	1	0	-999
0.25	1	1.17	0.8064516129	0	82	357	-0.3059630274	4.0854609485	chain	0	3	triang	3	1	0	-999
0.25	1	1.18	0.8027522936	0	83	358	-0.3015874878	4.1447342828	chain	0	3	triang	3	1	0	-999
0.25	1	1.19	0.799086758	0	84	359	-0.2972987376	4.2045250847	chain	0	3	triang	3	1	0	-999
0.25	1	1.2	0.7954545455	0	85	360	-0.293094557	4.2648352563	chain	0	3	triang	3	1	0	-999
0.25	1	1.21	0.7918552036	0	87	361	-0.2889727955	4.3256667051	chain	0	3	triang	3	1	0	-999
0.25	1	1.21	1.2443438914	0	87	362	-0.2889727955	4.3256667051	chain	0	3	triang	3	1	0	-999
0.25	1	1.22	0.7882882883	0	88	363	-0.2849313696	4.3870213445	chain	0	3	triang	3	1	0	-999
0.25	1	1.22	1.2387387387	0	88	364	-0.2849313696	4.3870213445	chain	0	3	triang	3	1	0	-999
0.25	1	1.23	0.7847533632	0	89	365	-0.2809682602	4.4489010933	chain	0	3	triang	3	1	0	-999
0.25	1	1.23	1.2331838565	0	89	366	-0.2809682602	4.4489010933	chain	0	3	triang	3	1	0	-999
0.25	1	1.24	0.78125	0	90	367	-0.2770815104	4.5113078753	chain	0	3	triang	3	1	0	-999
0.25	1	1.24	1.2276785714	0	90	368	-0.2770815104	4.5113078753	chain	0	3	triang	3	1	0	-999
0.25	1	1.25	0.7777777778	0	91	369	-0.2732692231	4.5742436197	chain	0	3	triang	3	1	0	-999
0.25	1	1.25	1.2222222222	0	91	370	-0.2732692231	4.5742436197	chain	0	3	triang	3	1	0	-999
0.25	1	1.26	0.7743362832	0	93	371	-0.2695295587	4.6377102604	chain	0	3	triang	3	1	0	-999
0.25	1	1.26	1.2168141593	0	93	372	-0.2695295587	4.6377102604	chain	0	3	triang	3	1	0	-999
0.25	1	1.27	0.7709251101	0	94	373	-0.2658607337	4.7017097362	chain	0	3	triang	3	1	0	-999
0.25	1	1.27	1.2114537445	0	94	374	-0.2658607337	4.7017097362	chain	0	3	triang	3	1	0	-999
0.25	1	1.28	0.7675438596	0	95	375	-0.2622610178	4.7662439908	chain	0	3	triang	3	1	0	-999
0.25	1	1.28	1.2061403509	0	95	376	-0.2622610178	4.7662439908	chain	0	3	triang	3	1	0	-999
0.25	1	1.29	0.7641921397	0	97	377	-0.2587287327	4.8313149722	chain	0	3	triang	3	1	0	-999
0.25	1	1.29	1.2008733625	0	97	378	-0.2587287327	4.8313149722	chain	0	3	triang	3	1	0	-999
0.25	1	1.3	0.7608695652	0	98	379	-0.25526225	4.8969246329	chain	0	3	triang	3	1	0	-999
0.25	1	1.3	1.1956521739	0	98	380	-0.25526225	4.8969246329	chain	0	3	triang	3	1	0	-999
0.25	1	1.31	0.7575757576	0	99	381	-0.2518599896	4.96307493	chain	0	3	triang	3	1	0	-999
0.25	1	1.31	1.1904761905	0	99	382	-0.2518599896	4.96307493	chain	0	3	triang	3	1	0	-999
0.25	1	1.32	0.7543103448	0	101	383	-0.2485204176	5.0297678243	chain	0	3	triang	3	1	0	-999
0.25	1	1.32	1.1853448276	0	101	384	-0.2485204176	5.0297678243	chain	0	3	triang	3	1	0	-999
0.25	1	1.33	0.7510729614	0	102	385	-0.2452420453	5.0970052812	chain	0	3	triang	3	1	0	-999
0.25	1	1.33	1.1802575107	0	102	386	-0.2452420453	5.0970052812	chain	0	3	triang	3	1	0	-999
0.25	1	1.34	1.1752136752	0	103	387	-0.2420234272	5.1647892699	chain	0	3	triang	3	1	0	-999
0.25	1	1.35	1.170212766	0	105	388	-0.2388631598	5.2331217635	chain	0	3	triang	3	1	0	-999
0.25	1	1.36	1.1652542373	0	106	389	-0.2357598798	5.3020047389	chain	0	3	triang	3	1	0	-999
0.25	1	1.37	1.1603375527	0	107	390	-0.2327122632	5.3714401768	chain	0	3	triang	3	1	0	-999
0.25	1	1.38	1.1554621849	0	109	391	-0.2297190235	5.4414300615	chain	0	3	triang	3	1	0	-999
0.25	1	1.39	1.1506276151	0	110	392	-0.2267789108	5.5119763808	chain	0	3	triang	3	1	0	-999
0.25	1	1.4	1.1458333333	0	112	393	-0.2238907105	5.5830811259	chain	0	3	triang	3	1	0	-999
0.25	1	1.41	1.1410788382	0	113	394	-0.2210532419	5.6547462916	chain	0	3	triang	3	1	0	-999
0.25	1	1.42	1.1363636364	0	115	395	-0.2182653574	5.7269738757	chain	0	3	triang	3	1	0	-999
0.25	1	1.43	1.1316872428	0	116	396	-0.2155259412	5.7997658796	chain	0	3	triang	3	1	0	-999
0.25	1	1.44	1.1270491803	0	117	397	-0.2128339083	5.8731243074	chain	0	3	triang	3	1	0	-999
0.25	1	1.45	1.1224489796	0	119	398	-0.2101882034	5.9470511667	chain	0	3	triang	3	1	0	-999
0.25	1	1.46	1.1178861789	0	120	399	-0.2075878002	6.0215484678	chain	0	3	triang	3	1	0	-999
0.25	1	1.47	1.1133603239	0	122	400	-0.2050317002	6.0966182242	chain	0	3	triang	3	1	0	-999
0.25	1	1.48	1.1088709677	0	123	401	-0.202518932	6.1722624522	chain	0	3	triang	3	1	0	-999
0.25	1	1.49	1.1044176707	0	125	402	-0.2000485503	6.2484831707	chain	0	3	triang	3	1	0	-999
0.25	1	0.01	1.2376237624	1	20	403	-1.2478083222	1.0017564219	chain	0	3	triang	3	1	1	-999
0.25	1	0.01	1.2376237624	1	20	404	-1.2478083222	1.0017564219	chain	0	3	triang	3	1	1	-999
0.25	1	0.02	1.2254901961	1	20	405	-1.2478083222	1.0017564219	chain	0	3	triang	3	1	1	-999
0.25	1	0.03	1.213592233	1	20	406	-1.2478083222	1.0017564219	chain	0	3	triang	3	1	1	-999
0.25	1	0.04	1.2019230769	1	20	407	-1.2478083222	1.0017564219	chain	0	3	triang	3	1	1	-999
0.25	1	0.05	1.1904761905	1	20	408	-1.2478083222	1.0017564219	chain	0	3	triang	3	1	1	-999
0.25	1	0.06	1.179245283	1	20	409	-1.2478083222	1.0017564219	chain	0	3	triang	3	1	1	-999
0.25	1	0.07	1.1682242991	1	20	410	-1.2478083222	1.0017564219	chain	0	3	triang	3	1	1	-999
0.25	1	0.08	1.1574074074	1	20	411	-1.2478083222	1.0017564219	chain	0	3	triang	3	1	1	-999
0.25	1	0.09	1.1467889908	1	20	412	-1.2478083222	1.0017564219	chain	0	3	triang	3	1	1	-999
0.25	1	0.1	1.1363636364	1	20	413	-1.2478083222	1.0017564219	chain	0	3	triang	3	1	1	-999
0.25	1	0.11	1.1261261261	1	20	414	-1.2478083222	1.0017564219	chain	0	3	triang	3	1	1	-999
0.25	1	0.12	1.1160714286	1	20	415	-1.2478083222	1.0017564219	chain	0	3	triang	3	1	1	-999
0.25	1	0.13	1.1061946903	1	20	416	-1.2478083222	1.0017564219	chain	0	3	triang	3	1	1	-999
0.25	1	0.14	1.0964912281	1	20	417	-1.2478083222	1.0017564219	chain	0	3	triang	3	1	1	-999
0.25	1	0.15	1.0869565217	1	20	418	-1.2478083222	1.0017564219	chain	0	3	triang	3	1	1	-999
0.25	1	0.16	1.0775862069	1	20	419	-1.2478083222	1.0017564219	chain	0	3	triang	3	1	1	-999
0.25	1	0.17	1.0683760684	1	20	420	-1.2478083222	1.0017564219	chain	0	3	triang	3	1	1	-999
0.25	1	0.18	1.0593220339	1	20	421	-1.2478083222	1.0017564219	chain	0	3	triang	3	1	1	-999
0.25	1	0.19	1.0504201681	1	20	422	-1.2478083222	1.0017564219	chain	0	3	triang	3	1	1	-999
0.25	1	0.2	1.0416666667	1	20	423	-1.2478083222	1.0017564219	chain	0	3	triang	3	1	1	-999
0.25	1	0.21	1.0330578512	1	20	424	-1.2478083222	1.0017564219	chain	0	3	triang	3	1	1	-999
0.25	1	0.22	1.0245901639	1	20	425	-1.2478083222	1.0017564219	chain	0	3	triang	3	1	1	-999
0.25	1	0.23	1.0162601626	1	20	426	-1.2478083222	1.0017564219	chain	0	3	triang	3	1	1	-999
0.25	1	0.24	1.0080645161	1	20	427	-1.2478083222	1.0017564219	chain	0	3	triang	3	1	1	-999
0.25	1	0.25	1	1	20	428	-1.2478083222	1.0017564219	chain	0	3	triang	3	1	1	-999
0.25	1	0.26	0.9920634921	1	20	429	-1.2478083222	1.0017564219	chain	0	3	triang	3	1	1	-999
0.25	1	0.27	0.9842519685	1	20	430	-1.2478083222	1.0017564219	chain	0	3	triang	3	1	1	-999
0.25	1	0.28	0.9765625	1	20	431	-1.2478083222	1.0017564219	chain	0	3	triang	3	1	1	-999
0.25	1	0.29	0.9689922481	1	20	432	-1.2478083222	1.0017564219	chain	0	3	triang	3	1	1	-999
0.25	1	0.3	0.9615384615	1	20	433	-1.2478083222	1.0017564219	chain	0	3	triang	3	1	1	-999
0.25	1	0.31	0.9541984733	1	20	434	-1.2478083222	1.0017564219	chain	0	3	triang	3	1	1	-999
0.25	1	0.32	0.946969697	1	20	435	-1.2478083222	1.0017564219	chain	0	3	triang	3	1	1	-999
0.25	1	0.33	0.9398496241	1	20	436	-1.2478083222	1.0017564219	chain	0	3	triang	3	1	1	-999
0.25	1	0.34	0.9328358209	1	20	437	-1.2478083222	1.0017564219	chain	0	3	triang	3	1	1	-999
0.25	1	0.35	0.9259259259	1	20	438	-1.2478083222	1.0017564219	chain	0	3	triang	3	1	1	-999
0.25	1	0.36	0.9191176471	1	20	439	-1.2478083222	1.0017564219	chain	0	3	triang	3	1	1	-999
0.25	1	0.37	0.9124087591	1	20	440	-1.2478083222	1.0017564219	chain	0	3	triang	3	1	1	-999
0.25	1	0.38	0.9057971014	1	20	441	-1.2478083222	1.0017564219	chain	0	3	triang	3	1	1	-999
0.25	1	0.39	0.8992805755	1	20	442	-1.2478083222	1.0017564219	chain	0	3	triang	3	1	1	-999
0.25	1	0.4	0.8928571429	1	20	443	-1.2478083222	1.0017564219	chain	0	3	triang	3	1	1	-999
0.25	1	0.41	0.8865248227	1	20	444	-1.2478083222	1.0017564219	chain	0	3	triang	3	1	1	-999
0.25	1	0.42	0.8802816901	1	20	445	-1.2478083222	1.0017564219	chain	0	3	triang	3	1	1	-999
0.25	1	0.43	0.8741258741	1	20	446	-1.2284824151	1.0175155824	chain	0	3	triang	3	1	1	-999
0.25	1	0.44	0.8680555556	1	21	447	-1.1987944576	1.0427141969	chain	0	3	triang	3	1	1	-999
0.25	1	0.45	0.8620689655	1	21	448	-1.1700251872	1.0683530694	chain	0	3	triang	3	1	1	-999
0.25	1	0.46	0.8561643836	1	22	449	-1.1421465615	1.0944304717	chain	0	3	triang	3	1	1	-999
0.25	1	0.47	0.8503401361	1	22	450	-1.1151306508	1.1209448858	chain	0	3	triang	3	1	1	-999
0.25	1	0.48	0.8445945946	1	23	451	-1.0889497807	1.1478949922	chain	0	3	triang	3	1	1	-999
0.25	1	0.49	0.8389261745	1	24	452	-1.0635766486	1.1752796582	chain	0	3	triang	3	1	1	-999
0.25	1	0.5	0.8333333333	1	24	453	-1.0389844184	1.203097927	chain	0	3	triang	3	1	1	-999
0.25	1	0.51	0.8278145695	1	25	454	-1.0151467963	1.2313490074	chain	0	3	triang	3	1	1	-999
0.25	1	0.52	0.8223684211	1	25	455	-0.9920380901	1.2600322634	chain	0	3	triang	3	1	1	-999
0.25	1	0.53	0.8169934641	1	26	456	-0.9696332545	1.2891472051	chain	0	3	triang	3	1	1	-999
0.25	1	0.54	0.8116883117	1	26	457	-0.9479079251	1.3186934795	chain	0	3	triang	3	1	1	-999
0.25	1	0.55	0.8064516129	1	27	458	-0.9268384414	1.3486708623	chain	0	3	triang	3	1	1	-999
0.25	1	0.56	0.8012820513	1	28	459	-0.9064018621	1.3790792498	chain	0	3	triang	3	1	1	-999
0.25	1	0.57	0.7961783439	1	28	460	-0.8865759729	1.4099186514	chain	0	3	triang	3	1	1	-999
0.25	1	0.58	0.7911392405	1	29	461	-0.8673392881	1.441189183	chain	0	3	triang	3	1	1	-999
0.25	1	0.59	0.786163522	1	29	462	-0.8486710484	1.47289106	chain	0	3	triang	3	1	1	-999
0.25	1	0.6	0.78125	1	30	463	-0.8305512129	1.5050245916	chain	0	3	triang	3	1	1	-999
0.25	1	0.61	0.7763975155	1	31	464	-0.8129604497	1.5375901749	chain	0	3	triang	3	1	1	-999
0.25	1	0.62	0.7716049383	1	31	465	-0.7958801223	1.5705882895	chain	0	3	triang	3	1	1	-999
0.25	1	0.63	0.7668711656	1	32	466	-0.7792922752	1.6040194928	chain	0	3	triang	3	1	1	-999
0.25	1	0.64	0.762195122	1	33	467	-0.7631796166	1.6378844152	chain	0	3	triang	3	1	1	-999
0.25	1	0.65	0.7575757576	1	33	468	-0.7475255012	1.6721837555	chain	0	3	triang	3	1	1	-999
0.25	1	0.66	0.7530120482	1	34	469	-0.7323139112	1.7069182776	chain	0	3	triang	3	1	1	-999
0.25	1	0.81	1.2430939227	1	46	470	-0.5480443855	2.2808371603	chain	0	3	triang	3	1	1	-999
0.25	1	0.82	1.2362637363	1	46	471	-0.5381716357	2.3226790807	chain	0	3	triang	3	1	1	-999
0.25	1	0.83	1.2295081967	1	47	472	-0.5285465449	2.3649762015	chain	0	3	triang	3	1	1	-999
0.25	1	0.84	1.222826087	1	48	473	-0.5191612031	2.4077299933	chain	0	3	triang	3	1	1	-999
